
******************** RISK RUN START (11/20/2010 6:33:55 PM - ) ********************

11/20/2010 6:33:55 PM - Script call: C:/Quantifi/9.4.1/bin/CreateCDSCurve.py 06-Nov-2009 Official -e
11/20/2010 6:34:07 PM - 	7250 [1] WARN  Quantifi.Curves.SurvivalFitCalibrator (null) - Forced survival curve AIFUL.JPY.SeniorUnsecured.Excluded to fit by copying previous quote to tenor 7 Years
11/20/2010 6:34:14 PM - 	quote  EURLIBOR.25 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  EURLIBOR.30 Years.Mid
11/20/2010 6:34:14 PM - 	quote  EURLIBOR.30 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  EURLIBOR.40 Years.Mid
11/20/2010 6:34:14 PM - 	quote  EURLIBOR.40 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  EURLIBOR.50 Years.Mid
11/20/2010 6:34:14 PM - 	quote  EURLIBOR.50 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  EURLIBOR.60 Years.Mid
11/20/2010 6:34:14 PM - 	quote  EURLIBOR.60 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  EURLIBOR.70 Years.Mid
11/20/2010 6:34:14 PM - 	quote  EURLIBOR.70 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  GBPLIBOR.1 Days.Mid
11/20/2010 6:34:14 PM - 	quote  GBPLIBOR.1 Days.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  GBPLIBOR.1 Weeks.Mid
11/20/2010 6:34:14 PM - 	quote  GBPLIBOR.1 Weeks.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  GBPLIBOR.1 Months.Mid
11/20/2010 6:34:14 PM - 	quote  GBPLIBOR.1 Months.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  GBPLIBOR.16-Dec-2009.Mid
11/20/2010 6:34:14 PM - 	quote  GBPLIBOR.16-Dec-2009.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  GBPLIBOR.MAR10.Mid
11/20/2010 6:34:14 PM - 	quote  GBPLIBOR.MAR10.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  GBPLIBOR.JUN10.Mid
11/20/2010 6:34:14 PM - 	quote  GBPLIBOR.JUN10.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  GBPLIBOR.SEP10.Mid
11/20/2010 6:34:14 PM - 	quote  GBPLIBOR.SEP10.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  GBPLIBOR.DEC10.Mid
11/20/2010 6:34:14 PM - 	quote  GBPLIBOR.DEC10.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  GBPLIBOR.MAR11.Mid
11/20/2010 6:34:14 PM - 	quote  GBPLIBOR.MAR11.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  GBPLIBOR.JUN11.Mid
11/20/2010 6:34:14 PM - 	quote  GBPLIBOR.JUN11.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  GBPLIBOR.SEP11.Mid
11/20/2010 6:34:14 PM - 	quote  GBPLIBOR.SEP11.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  GBPLIBOR.DEC11.Mid
11/20/2010 6:34:14 PM - 	quote  GBPLIBOR.DEC11.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  GBPLIBOR.MAR12.Mid
11/20/2010 6:34:14 PM - 	quote  GBPLIBOR.MAR12.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  GBPLIBOR.JUN12.Mid
11/20/2010 6:34:14 PM - 	quote  GBPLIBOR.JUN12.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  GBPLIBOR.SEP12.Mid
11/20/2010 6:34:14 PM - 	quote  GBPLIBOR.SEP12.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  GBPLIBOR.DEC12.Mid
11/20/2010 6:34:14 PM - 	quote  GBPLIBOR.DEC12.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  GBPLIBOR.4 Years.Mid
11/20/2010 6:34:14 PM - 	quote  GBPLIBOR.4 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  GBPLIBOR.5 Years.Mid
11/20/2010 6:34:14 PM - 	quote  GBPLIBOR.5 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  GBPLIBOR.6 Years.Mid
11/20/2010 6:34:14 PM - 	quote  GBPLIBOR.6 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  GBPLIBOR.7 Years.Mid
11/20/2010 6:34:14 PM - 	quote  GBPLIBOR.7 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  GBPLIBOR.8 Years.Mid
11/20/2010 6:34:14 PM - 	quote  GBPLIBOR.8 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  GBPLIBOR.9 Years.Mid
11/20/2010 6:34:14 PM - 	quote  GBPLIBOR.9 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  GBPLIBOR.10 Years.Mid
11/20/2010 6:34:14 PM - 	quote  GBPLIBOR.10 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  GBPLIBOR.12 Years.Mid
11/20/2010 6:34:14 PM - 	quote  GBPLIBOR.12 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  GBPLIBOR.15 Years.Mid
11/20/2010 6:34:14 PM - 	quote  GBPLIBOR.15 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  GBPLIBOR.20 Years.Mid
11/20/2010 6:34:14 PM - 	quote  GBPLIBOR.20 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  GBPLIBOR.25 Years.Mid
11/20/2010 6:34:14 PM - 	quote  GBPLIBOR.25 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  GBPLIBOR.30 Years.Mid
11/20/2010 6:34:14 PM - 	quote  GBPLIBOR.30 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  GBPLIBOR.40 Years.Mid
11/20/2010 6:34:14 PM - 	quote  GBPLIBOR.40 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  GBPLIBOR.50 Years.Mid
11/20/2010 6:34:14 PM - 	quote  GBPLIBOR.50 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  GBPLIBOR.60 Years.Mid
11/20/2010 6:34:14 PM - 	quote  GBPLIBOR.60 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  GBPLIBOR.70 Years.Mid
11/20/2010 6:34:14 PM - 	quote  GBPLIBOR.70 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  JPYLIBOR.1 Days.Mid
11/20/2010 6:34:14 PM - 	quote  JPYLIBOR.1 Days.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  JPYLIBOR.2 Days.Mid
11/20/2010 6:34:14 PM - 	quote  JPYLIBOR.2 Days.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  JPYLIBOR.1 Weeks.Mid
11/20/2010 6:34:14 PM - 	quote  JPYLIBOR.1 Weeks.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  JPYLIBOR.1 Months.Mid
11/20/2010 6:34:14 PM - 	quote  JPYLIBOR.1 Months.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  JPYLIBOR.2 Months.Mid
11/20/2010 6:34:14 PM - 	quote  JPYLIBOR.2 Months.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  JPYLIBOR.3 Months.Mid
11/20/2010 6:34:14 PM - 	quote  JPYLIBOR.3 Months.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  JPYLIBOR.6 Months.Mid
11/20/2010 6:34:14 PM - 	quote  JPYLIBOR.6 Months.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  JPYLIBOR.1 Years.Mid
11/20/2010 6:34:14 PM - 	quote  JPYLIBOR.1 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  JPYLIBOR.18 Months.Mid
11/20/2010 6:34:14 PM - 	quote  JPYLIBOR.18 Months.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  JPYLIBOR.2 Years.Mid
11/20/2010 6:34:14 PM - 	quote  JPYLIBOR.2 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  JPYLIBOR.3 Years.Mid
11/20/2010 6:34:14 PM - 	quote  JPYLIBOR.3 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  JPYLIBOR.4 Years.Mid
11/20/2010 6:34:14 PM - 	quote  JPYLIBOR.4 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  JPYLIBOR.5 Years.Mid
11/20/2010 6:34:14 PM - 	quote  JPYLIBOR.5 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  JPYLIBOR.6 Years.Mid
11/20/2010 6:34:14 PM - 	quote  JPYLIBOR.6 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  JPYLIBOR.7 Years.Mid
11/20/2010 6:34:14 PM - 	quote  JPYLIBOR.7 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  JPYLIBOR.8 Years.Mid
11/20/2010 6:34:14 PM - 	quote  JPYLIBOR.8 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  JPYLIBOR.9 Years.Mid
11/20/2010 6:34:14 PM - 	quote  JPYLIBOR.9 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  JPYLIBOR.10 Years.Mid
11/20/2010 6:34:14 PM - 	quote  JPYLIBOR.10 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  JPYLIBOR.12 Years.Mid
11/20/2010 6:34:14 PM - 	quote  JPYLIBOR.12 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  JPYLIBOR.15 Years.Mid
11/20/2010 6:34:14 PM - 	quote  JPYLIBOR.15 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  JPYLIBOR.20 Years.Mid
11/20/2010 6:34:14 PM - 	quote  JPYLIBOR.20 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  JPYLIBOR.25 Years.Mid
11/20/2010 6:34:14 PM - 	quote  JPYLIBOR.25 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  JPYLIBOR.30 Years.Mid
11/20/2010 6:34:14 PM - 	quote  JPYLIBOR.30 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  JPYLIBOR.40 Years.Mid
11/20/2010 6:34:14 PM - 	quote  JPYLIBOR.40 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  JPYLIBOR.50 Years.Mid
11/20/2010 6:34:14 PM - 	quote  JPYLIBOR.50 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  JPYLIBOR.52 Years.Mid
11/20/2010 6:34:14 PM - 	quote  JPYLIBOR.52 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  USDLIBOR.16-Dec-2009.Mid
11/20/2010 6:34:14 PM - 	quote  USDLIBOR.16-Dec-2009.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  USDLIBOR.MAR10.Mid
11/20/2010 6:34:14 PM - 	quote  USDLIBOR.MAR10.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  USDLIBOR.JUN10.Mid
11/20/2010 6:34:14 PM - 	quote  USDLIBOR.JUN10.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  USDLIBOR.SEP10.Mid
11/20/2010 6:34:14 PM - 	quote  USDLIBOR.SEP10.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  USDLIBOR.DEC10.Mid
11/20/2010 6:34:14 PM - 	quote  USDLIBOR.DEC10.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  USDLIBOR.MAR11.Mid
11/20/2010 6:34:14 PM - 	quote  USDLIBOR.MAR11.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  USDLIBOR.JUN11.Mid
11/20/2010 6:34:14 PM - 	quote  USDLIBOR.JUN11.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  USDLIBOR.2 Years.Mid
11/20/2010 6:34:14 PM - 	quote  USDLIBOR.2 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  USDLIBOR.3 Years.Mid
11/20/2010 6:34:14 PM - 	quote  USDLIBOR.3 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  USDLIBOR.4 Years.Mid
11/20/2010 6:34:14 PM - 	quote  USDLIBOR.4 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  USDLIBOR.5 Years.Mid
11/20/2010 6:34:14 PM - 	quote  USDLIBOR.5 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  USDLIBOR.6 Years.Mid
11/20/2010 6:34:14 PM - 	quote  USDLIBOR.6 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  USDLIBOR.7 Years.Mid
11/20/2010 6:34:14 PM - 	quote  USDLIBOR.7 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  USDLIBOR.8 Years.Mid
11/20/2010 6:34:14 PM - 	quote  USDLIBOR.8 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  USDLIBOR.9 Years.Mid
11/20/2010 6:34:14 PM - 	quote  USDLIBOR.9 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  USDLIBOR.10 Years.Mid
11/20/2010 6:34:14 PM - 	quote  USDLIBOR.10 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  USDLIBOR.12 Years.Mid
11/20/2010 6:34:14 PM - 	quote  USDLIBOR.12 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  USDLIBOR.15 Years.Mid
11/20/2010 6:34:14 PM - 	quote  USDLIBOR.15 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  USDLIBOR.20 Years.Mid
11/20/2010 6:34:14 PM - 	quote  USDLIBOR.20 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  USDLIBOR.25 Years.Mid
11/20/2010 6:34:14 PM - 	quote  USDLIBOR.25 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  USDLIBOR.30 Years.Mid
11/20/2010 6:34:14 PM - 	quote  USDLIBOR.30 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  USDLIBOR.40 Years.Mid
11/20/2010 6:34:14 PM - 	quote  USDLIBOR.40 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  USDLIBOR.50 Years.Mid
11/20/2010 6:34:14 PM - 	quote  USDLIBOR.50 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  CADLIBOR.14-Dec-2009.Mid
11/20/2010 6:34:14 PM - 	quote  CADLIBOR.14-Dec-2009.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  CADLIBOR.MAR10.Mid
11/20/2010 6:34:14 PM - 	quote  CADLIBOR.MAR10.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  CADLIBOR.JUN10.Mid
11/20/2010 6:34:14 PM - 	quote  CADLIBOR.JUN10.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  CADLIBOR.SEP10.Mid
11/20/2010 6:34:14 PM - 	quote  CADLIBOR.SEP10.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  CADLIBOR.DEC10.Mid
11/20/2010 6:34:14 PM - 	quote  CADLIBOR.DEC10.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  CADLIBOR.MAR11.Mid
11/20/2010 6:34:14 PM - 	quote  CADLIBOR.MAR11.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  CADLIBOR.JUN11.Mid
11/20/2010 6:34:14 PM - 	quote  CADLIBOR.JUN11.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  CADLIBOR.SEP11.Mid
11/20/2010 6:34:14 PM - 	quote  CADLIBOR.SEP11.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  CADLIBOR.2 Years.Mid
11/20/2010 6:34:14 PM - 	quote  CADLIBOR.2 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  CADLIBOR.3 Years.Mid
11/20/2010 6:34:14 PM - 	quote  CADLIBOR.3 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  CADLIBOR.4 Years.Mid
11/20/2010 6:34:14 PM - 	quote  CADLIBOR.4 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  CADLIBOR.5 Years.Mid
11/20/2010 6:34:14 PM - 	quote  CADLIBOR.5 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  CADLIBOR.6 Years.Mid
11/20/2010 6:34:14 PM - 	quote  CADLIBOR.6 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  CADLIBOR.7 Years.Mid
11/20/2010 6:34:14 PM - 	quote  CADLIBOR.7 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  CADLIBOR.8 Years.Mid
11/20/2010 6:34:14 PM - 	quote  CADLIBOR.8 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  CADLIBOR.9 Years.Mid
11/20/2010 6:34:14 PM - 	quote  CADLIBOR.9 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  CADLIBOR.10 Years.Mid
11/20/2010 6:34:14 PM - 	quote  CADLIBOR.10 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  CADLIBOR.12 Years.Mid
11/20/2010 6:34:14 PM - 	quote  CADLIBOR.12 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  CADLIBOR.15 Years.Mid
11/20/2010 6:34:14 PM - 	quote  CADLIBOR.15 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  CADLIBOR.20 Years.Mid
11/20/2010 6:34:14 PM - 	quote  CADLIBOR.20 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  CADLIBOR.25 Years.Mid
11/20/2010 6:34:14 PM - 	quote  CADLIBOR.25 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  CADLIBOR.30 Years.Mid
11/20/2010 6:34:14 PM - 	quote  CADLIBOR.30 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  CADLIBOR.35 Years.Mid
11/20/2010 6:34:14 PM - 	quote  CADLIBOR.35 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  CADLIBOR.40 Years.Mid
11/20/2010 6:34:14 PM - 	quote  CADLIBOR.40 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  CADLIBOR.50 Years.Mid
11/20/2010 6:34:14 PM - 	quote  CADLIBOR.50 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:15 PM - Script call: C:/Quantifi/9.4.1/bin/CopyQuotes.py 05-Nov-2009 06-Nov-2009 --quoteType="ED Future" -m "Insert" -f C:/Quantifi/NightlyBatch/20091106/logs/CopyEDFuture.csv -e
11/20/2010 6:34:21 PM - 	Found 41 quotes for 05-Nov-2009
11/20/2010 6:34:21 PM - 	Actual Run: Added 0 quotes and updated 0 quotes.
11/20/2010 6:34:22 PM - Script call: C:/Quantifi/9.4.1/bin/CopyQuotes.py 05-Nov-2009 06-Nov-2009 --quoteType="MM Rate" -m "Insert" -f C:/Quantifi/NightlyBatch/20091106/logs/CopyMMRate.csv -e
11/20/2010 6:34:28 PM - 	Found 22 quotes for 05-Nov-2009
11/20/2010 6:34:28 PM - 	Actual Run: Added 0 quotes and updated 0 quotes.
11/20/2010 6:34:29 PM - Script call: C:/Quantifi/9.4.1/bin/CopyQuotes.py 05-Nov-2009 06-Nov-2009 --quoteType="Swap Rate" -m "Insert" -f C:/Quantifi/NightlyBatch/20091106/logs/CopySwapRate.csv -e
11/20/2010 6:34:35 PM - 	Found 86 quotes for 05-Nov-2009
11/20/2010 6:34:35 PM - 	Actual Run: Added 0 quotes and updated 0 quotes.
11/20/2010 6:34:36 PM - Script call: C:/Quantifi/9.4.1/bin/NextImportFX.py C:/Quantifi/NightlyBatch/20091106/Next-Data\FXRates.20091106.CSV -e
