MARKIT Ticker,Currency,Sen/Sub,Doc Clause,RED Code,IsDefaulted,Defaulted Recovery Rate,Phoenix Reference Entity ID,Name,Country,Moodys,S&P,Moodys Industries,S&P Industries,CreditIndex,Series,Version (hardcoded),Credit Index Mapping,Recovery,Quote Date,TRACS ID,Yr 1,Yr 2,Yr 3,Yr 4,Yr 5,Yr 6,Yr 7,Yr 8,Yr 9,Yr 10
NULL,USD,Senior,NULL,9HB326,FALSE,,10067,Wyeth LLC,US,A3,A+,Healthcare_ Education and Childcare,Drugs,,,,s9.DJ CDX.NA.IG,0.3952,9/11/2009,395603,8.612084933,10.1,13.71205492,17.7597756,22.2,24.06681976,25.81516954,27.44504933,28.95645913,30.34939895
NULL,USD,Senior,Excluded,9HB326,FALSE,,10067,Wyeth LLC,US,A3,A+,Healthcare_ Education and Childcare,Drugs,,,,s9.DJ CDX.NA.IG,0.3952,9/11/2009,395603,8.612084933,10.1,13.71205492,17.7597756,22.2,24.06681976,25.81516954,27.44504933,28.95645913,30.34939895
NULL,USD,Senior,NULL,02BIA3,FALSE,,10071,American Tower Corporation,US,Ba1,BB+,Telecommunications,Telecommunications - Wireless,,,,s9.DJ CDX.NA.IG,0.393125,9/11/2009,136557,40.97,110.5505,109.771,146.4444692,184.7336594,187.7995142,190.5205,192.1064504,193.3306831,194.2030607
AMGN,USD,Senior,NULL,0D4278,FALSE,,10080,Amgen Inc.,US,A3,A+,Healthcare_ Education and Childcare,Drugs,,,,s9.DJ CDX.NA.IG,0.39375,9/11/2009,268139,25.7,45,47.2,52.5,57.4,59.31470947,60.5,62.11134759,63.20181471,63.8
AMGN,USD,Senior,Excluded,0D4278,FALSE,,10080,Amgen Inc.,US,A3,A+,Healthcare_ Education and Childcare,Drugs,,,,s9.DJ CDX.NA.IG,0.39375,9/11/2009,268139,25.7,45,47.2,52.5,57.4,59.31470947,60.5,62.11134759,63.20181471,63.8
AMKR,USD,Senior,NULL,0D47B7,FALSE,,10081,Amkor Technology_ Inc.,US,B1,B+,Electronics,Electronics / Electrical,,,,s9.DJ CDX.NA.IG,0.35,9/11/2009,137615,504.0035572,507.6,562.3,596.5,627.4,622.3478279,617,614.3166297,611.3814557,608.2
NULL,USD,Senior,NULL,0A3576,FALSE,,10087,Anadarko Petroleum Corporation,US,Baa3,BBB-,Oil and Gas,Oil & Gas,,,,s9.DJ CDX.NA.IG,0.394347826,9/11/2009,169880,45.033024,52.8134065,60.2,70.24694673,80.5,87.26932391,93.60906071,99.5192104,104.999773,110.0507484
NULL,USD,Senior,Excluded,0A3576,FALSE,,10087,Anadarko Petroleum Corporation,US,Baa3,BBB-,Oil and Gas,Oil & Gas,,,,s9.DJ CDX.NA.IG,0.394347826,9/11/2009,169880,45.033024,52.8134065,60.2,70.24694673,80.5,87.26932391,93.60906071,99.5192104,104.999773,110.0507484
NULL,USD,Senior,NULL,0E8624,FALSE,,10111,Ashland Inc.,US,Ba1    *-,BB+    *-,Diversified/Conglomerate Manufacturing,Chemicals & Plastics,,,,s9.DJ CDX.NA.IG,0.393478261,9/11/2009,432885,144.38735,149.3665832,154.1,168.507576,183.2,188.4219625,193.4,194.5793584,195.3754132,195.8
BAPLC,EUR,Senior,NULL,05A75U,FALSE,,10136,BAE SYSTEMS PLC,GB,Baa2,BBB+,Aerospace and Defence,Aerospace & Defence,,,,s9.iTraxx Europe,0.36667,9/11/2009,1289,51.4,60,67.6,72.8,79.2,82.37992375,85,87.53237706,89.59276381,91.2
BLL,USD,Senior,NULL,05DCDH,FALSE,,10138,Ball Corporation,US,Ba1,BB+,Containers_ Packaging and Glass,Containers & Glass Products,,,,s9.DJ CDX.NA.IG,0.4,9/11/2009,360632,95.6,121.7974486,148.4,181.4,210.7,228.7384432,246.9,241.525461,235.955569,230.2
BASFSE,EUR,Senior,NULL,DD6837,FALSE,,10146,BASF SE,DE,Aa3,AA-,Chemicals_ Plastics and Rubber,Chemicals & Plastics,,,,s9.iTraxx Europe,0.4,9/11/2009,55294,25.6,33.7,40.7,45.8,51,54.07429712,56.7,59.41806843,61.78101515,63.8
BOL,USD,Senior,NULL,0H8877,FALSE,,10149,Bausch & Lomb Incorporated,US,Caa1,B+,Healthcare_ Education and Childcare,Health Care,,,,s9.DJ CDX.NA.IG,0.4,9/11/2009,1086,203.4,246.7,260.9,292.4,314.5,314.3838035,314.1,314.1687534,314.0383516,313.7
BAX,USD,Senior,NULL,0H8994,FALSE,,10150,Baxter International Inc.,US,A3,A+,Healthcare_ Education and Childcare,Industrial Equipment,,,,s9.DJ CDX.NA.IG,0.4,9/11/2009,52940,16.9,17.9,25,27.5,30.5,31.5886178,32.3,33.71436422,34.91166657,35.9
BAX,USD,Senior,Excluded,0H8994,FALSE,,10150,Baxter International Inc.,US,A3,A+,Healthcare_ Education and Childcare,Industrial Equipment,,,,s9.DJ CDX.NA.IG,0.4,9/11/2009,52940,16.9,17.9,25,27.5,30.5,31.5886178,32.3,33.71436422,34.91166657,35.9
BEC,USD,Senior,NULL,07CD92,FALSE,,10161,Beckman Coulter_ Inc.,US,Baa3,BBB,Healthcare_ Education and Childcare,Industrial Equipment,,,,s9.DJ CDX.NA.IG,0.4,9/11/2009,,,62.54304554,71.6481756,80.3,84.1,87.2,94.21901032,100.796286,106.9318271,112.6256335,117.8777053
VRZN,USD,Senior,NULL,9B579L,FALSE,,10164,Verizon Communications Inc.,US,A3     *-,A,Telecommunications,Telecommunications - Wireline  ,,,,s9.DJ CDX.NA.IG,0.4,9/11/2009,179122,28.8,39.8,52.1,63.2,71.9,76.4038849,80.3,84.04232818,87.26993105,90,
VRZN,USD,Senior,Excluded,9B579L,FALSE,,10164,Verizon Communications Inc.,US,A3     *-,A,Telecommunications,Telecommunications - Wireline  ,,,,s9.DJ CDX.NA.IG,0.4,9/11/2009,179122,28.8,39.8,52.1,63.2,71.9,76.4038849,80.3,84.04232818,87.26993105,90,
BILLO,USD,Senior,NULL,0I85AL,FALSE,,10170,Belo Corp.,US,Ba1,BB,Printing and Publishing,Leisure goods / Activities / Movies,,,,s9.DJ CDX.NA.IG,0.39889,9/11/2009,432891,194.2,276.9,323.3,350.8,372.4,373.4790299,374.4,375.5205079,376.4561861,377.2,
BDK,USD,Senior,NULL,09A8GG,FALSE,,10183,The Black & Decker Corporation,US,Baa2,BBB,Home and Office Furnishing_ Housewares_ and Durable Consumer Products,Industrial Equipment,,,,s9.DJ CDX.NA.IG,0.38833,9/11/2009,1222,6.5,17.3,25.4,36.4,46.6,49.17215628,51.3,54.92762152,58.36263281,61.6,
BA,USD,Senior,NULL,09G725,FALSE,,10188,The Boeing Company,US,A2,A+,Aerospace and Defence,Aerospace & Defence,,,,s9.DJ CDX.NA.IG,0.4,9/11/2009,1247,54.8,75.6,82.8,95.2,105.2,107.8696156,109.8,112.0475944,113.6427404,114.6,
BWA,USD,Senior,NULL,09IG96,FALSE,,10195,BorgWarner Inc.,US,Baa1,A-,Automobile,Automotive,,,,s9.DJ CDX.NA.IG,0.39833,9/11/2009,735654,91,97.4,99,119.5,127.1,131.6634708,136.1,139.6039649,142.9382979,146.1,
BSX,USD,Senior,NULL,1B124A,FALSE,,10196,Boston Scientific Corporation,US,Ba2,BB+,Healthcare_ Education and Childcare,Health Care,,,,s9.DJ CDX.NA.IG,0.4,9/11/2009,297525,82,85.2,89.3,92.4,96.5,99.16198015,101,103.192103,104.748553,105.7,
NULL,USD,Senior,NULL,1C1134,FALSE,,10204,Bristol-Myers Squibb Company,US,A2,A+,Healthcare_ Education and Childcare,Drugs,,,,s9.DJ CDX.NA.IG,0.395833333,9/11/2009,1287,30.26945251,35.49912393,40.46410566,45.16439768,49.6,50.9381339,51.6,52.66848758,53.25903695,53.4,
NULL,USD,Senior,Excluded,1C1134,FALSE,,10204,Bristol-Myers Squibb Company,US,A2,A+,Healthcare_ Education and Childcare,Drugs,,,,s9.DJ CDX.NA.IG,0.395833333,9/11/2009,1287,30.26945251,35.49912393,40.46410566,45.16439768,49.6,50.9381339,51.6,52.66848758,53.25903695,53.4,
BATSLN,EUR,Senior,NULL,1C148C,FALSE,,10206,BRITISH AMERICAN TOBACCO p.l.c.,GB,Baa1,BBB+,Beverage_ Food and Tobacco,Beverage & Tobacco,,,,s9.iTraxx Europe,0.4,9/11/2009,115704,32.8,42.2,50.8,57.7,63.9,66.84678476,69.1,71.55258431,73.47767225,74.9,
BSY,EUR,Senior,NULL,1C2114,FALSE,,10210,BRITISH SKY BROADCASTING GROUP PLC,GB,Baa2,BBB,Broadcasting and Entertainment,Cable & Satellite Television,,,,s9.iTraxx Europe,0.38571,9/11/2009,1307,42.12247482,49.4,56.5,61.4,66.8,71.21553965,75.1,78.18646132,80.74598358,82.8,
BR,USD,Senior,NULL,1D4215,FALSE,,10221,Burlington Resources Inc.,US,A2,BBB-,Oil and Gas,Oil & Gas,,,,s9.DJ CDX.NA.IG,0.4,9/11/2009,82206,33,28.8,36.2,40.3,44.4,46.06849384,47.2,49.15808922,50.78701116,52.1,
NULL,EUR,Senior,NULL,138EB3,FALSE,,10227,CABLE & WIRELESS LIMITED,GB,B1,BB-,Telecommunications,Telecommunications - Wireline and Wireless,,,,s9.iTraxx Europe,0.383684211,9/11/2009,1365,121.4,158,183.1,202.2757588,221.9,227.7093203,233.2,235.3318566,237.0281018,238.3,
CPB,USD,Senior,NULL,1E786B,FALSE,,10240,Campbell Soup Company,US,A2,A,Beverage_ Food and Tobacco,Food Products,,,,s9.DJ CDX.NA.IG,0.4,9/11/2009,393752,11.2,19.3,20.7,24.1,26.9,28.47191113,29.8,30.67644598,31.30544101,31.7,
CPB,USD,Senior,Excluded,1E786B,FALSE,,10240,Campbell Soup Company,US,A2,A,Beverage_ Food and Tobacco,Food Products,,,,s9.DJ CDX.NA.IG,0.4,9/11/2009,393752,11.2,19.3,20.7,24.1,26.9,28.47191113,29.8,30.67644598,31.30544101,31.7,
NXY,USD,Senior,NULL,6B867L,FALSE,,10244,NEXEN INC.,CA,Baa2,BBB-,Oil and Gas,Oil & Gas,,,,s9.DJ CDX.NA.IG,0.4,9/11/2009,1457,58.7,71.2,86.3,94.3,106.9,109.4780651,111.1,114.684495,117.6772124,120.1
NULL,USD,Senior,NULL,1F79BD,FALSE,,10248,CARNIVAL CORPORATION,US,A3,A-,Leisure_ Amusement and Entertainment,Lodging & Casinos,,,,s9.DJ CDX.NA.IG,0.4,9/11/2009,1543,54.4,72,86.4,97.1063088,107.5,111.2915637,114.4,118.5043438,122.034868,125
NULL,USD,Senior,Excluded,1F79BD,FALSE,,10248,CARNIVAL CORPORATION,US,A3,A-,Leisure_ Amusement and Entertainment,Lodging & Casinos,,,,s9.DJ CDX.NA.IG,0.4,9/11/2009,1543,54.4,72,86.4,97.1063088,107.5,111.2915637,114.4,118.5043438,122.034868,125
NULL,USD,Senior,NULL,15DA35,FALSE,,10253,Caterpillar Inc.,US,A2,A,Machinery (Non-Agriculture_ Non-construction_ Non-electronic),Industrial Equipment,,,,s9.DJ CDX.NA.IG,0.393181818,9/11/2009,1572,64.36563334,72,80.3,88.26364362,96,98.13958906,99.4,101.5801834,103.1368721,104.1
NULL,USD,Senior,Excluded,15DA35,FALSE,,10253,Caterpillar Inc.,US,A2,A,Machinery (Non-Agriculture_ Non-construction_ Non-electronic),Industrial Equipment,,,,s9.DJ CDX.NA.IG,0.393181818,9/11/2009,1572,64.36563334,72,80.3,88.26364362,96,98.13958906,99.4,101.5801834,103.1368721,104.1
CLS,USD,Senior,NULL,1G611R,FALSE,,10258,Celestica Inc.,CA,WR,B+,Electronics,Electronics / Electrical,,,,s9.DJ CDX.NA.IG,0.39991,9/11/2009,49158,155.8,222.3,263.1,308.5,341.7,335.7384853,329.5,331.6535433,333.6535867,335.5
CENTRI,EUR,Senior,NULL,16B9CT,FALSE,,10264,Centrica Plc,GB,A3,A,Utilities,Utilities,,,,s9.iTraxx Europe,0.4,9/11/2009,112726,23,35.4,40.9,45.8,50.8,53.59297829,55.9,57.8563291,59.38287238,60.5
CLINKI,USD,Senior,NULL,16BD70,FALSE,,10265,CenturyLink_ Inc.,US,Baa2   *-,BBB-,Telecommunications,Telecommunications - Wireless,,,,s9.DJ CDX.NA.IG,0.4,9/11/2009,288789,34.1,52.2,66.7,71.4,90.6,96.58305291,102.2,109.3020627,116.2081923,122.9
CLINKI,USD,Senior,Excluded,16BD70,FALSE,,10265,CenturyLink_ Inc.,US,Baa2   *-,BBB-,Telecommunications,Telecommunications - Wireless,,,,s9.DJ CDX.NA.IG,0.4,9/11/2009,288789,34.1,52.2,66.7,71.4,90.6,96.58305291,102.2,109.3020627,116.2081923,122.9
NULL,USD,Senior,NULL,17B67D,FALSE,,10276,Chesapeake Energy Corporation,US,Ba3,BB     *+,Oil and Gas,Oil & Gas,,,,s9.DJ CDX.NA.IG,0.395294118,9/11/2009,54150,207.1069665,243.0878538,353.9984606,417.1513655,478.9703667,476.5753882,474.0776647,472.9510287,471.6804853,470.2586872
NULL,USD,Senior,NULL,19C952,FALSE,,10290,Clear Channel Communications_ Inc.,US,Caa1,B,Broadcasting and Entertainment,Radio & Television,,,,s9.DJ CDX.NA.IG,0.39375,9/11/2009,29464,3006.843917,3028.3,2766,2707.414867,2647,2557.925977,2466.88771,2373.986454,2279.323465,2183
NULL,USD,Senior,Excluded,19C952,FALSE,,10290,Clear Channel Communications_ Inc.,US,Caa1,B,Broadcasting and Entertainment,Radio & Television,,,,s9.DJ CDX.NA.IG,0.39375,9/11/2009,29464,3006.843917,3028.3,2766,2707.414867,2647,2557.925977,2466.88771,2373.986454,2279.323465,2183
CLX,USD,Senior,NULL,19H959,FALSE,,10293,THE CLOROX COMPANY,US,Baa2,BBB+,Personal and NonDurable Consumer Products (Manufacturing only),Chemicals & Plastics,,,,s9.DJ CDX.NA.IG,0.4,9/11/2009,118349,31.6428059,37.10975241,42.3,50.4,52.9,56.4093676,59.5,61.01072533,62.00103063,62.5
NULL,USD,Senior,NULL,137DHF,FALSE,,10295,CMS Energy Corporation,US,Ba1,BBB-,Utilities,Utilities,,,,s9.DJ CDX.NA.IG,0.394285714,9/11/2009,44973,146.4,181.1,213.1,236.6312649,260.4,259.5803378,258.6,258.0782339,257.4105702,256.6
CMCSA,USD,Senior,NULL,2C033N,FALSE,,10307,Comcast Corporation,US,Baa2,BBB+,Broadcasting and Entertainment,Cable & Satellite Television,,,,s9.DJ CDX.NA.IG,0.4,9/11/2009,152855,81.2,103.8,111.3,124.7,138.2,143.0710584,147.8,150.2024986,152.3682701,154.3
NULL,USD,Senior,NULL,2C5899,FALSE,,10316,Computer Sciences Corporation,US,Baa1,A-,Electronics,Business Equipment & Services,,,,s9.DJ CDX.NA.IG,0.393333333,9/11/2009,412654,27.95042188,32.77943299,37.36403305,41.70422205,45.8,51.11581942,56.4,59.96089934,63.26296996,66.30621186
NULL,USD,Senior,Excluded,2C5899,FALSE,,10316,Computer Sciences Corporation,US,Baa1,A-,Electronics,Business Equipment & Services,,,,s9.DJ CDX.NA.IG,0.393333333,9/11/2009,412654,27.95042188,32.77943299,37.36403305,41.70422205,45.8,51.11581942,56.4,59.96089934,63.26296996,66.30621186,
CEG,USD,Senior,NULL,2D13A8,FALSE,,10327,Constellation Energy Group_ Inc.,US,Baa1,BBB+,Utilities,Utilities,,,,s9.DJ CDX.NA.IG,0.4,9/11/2009,413365,120.7,140.5,164.2,180.1,193.1,196.4763845,199.5,202.300914,204.7657482,206.9,
CEG,USD,Senior,Excluded,2D13A8,FALSE,,10327,Constellation Energy Group_ Inc.,US,Baa1,BBB+,Utilities,Utilities,,,,s9.DJ CDX.NA.IG,0.4,9/11/2009,413365,120.7,140.5,164.2,180.1,193.1,196.4763845,199.5,202.300914,204.7657482,206.9,
COOPER,USD,Senior,NULL,237EB4,FALSE,,10332,Cooper Tire & Rubber Company,US,B3,B+,Automobile,Chemicals & Plastics,,,,s9.DJ CDX.NA.IG,0.375,9/11/2009,111910,331.4611618,337,391.6115691,445,477.7,474.3437625,470.9,471.5049829,471.9397639,472.2,
NULL,USD,Senior,NULL,23AC85,FALSE,,10337,Corning Incorporated,US,Baa1,BBB+,Electronics,Telecommunications - Wireline and Wireless,,,,s9.DJ CDX.NA.IG,0.393333333,9/11/2009,152750,37.53168003,44.01605085,50.17222778,56.00021083,61.5,65.63910301,69.3,72.38763473,75.01540944,77.2,
NULL,USD,Senior,NULL,2E6448,FALSE,,10340,Cox Communications_ Inc.,US,Baa3,BBB-,Broadcasting and Entertainment,Cable & Satellite Television,,,,s9.DJ CDX.NA.IG,0.393478261,9/11/2009,56099,58.68634625,65.64709629,72.26962193,78.55392317,84.5,88.51241549,92,95.35030993,98.24556757,100.7,
NULL,USD,Senior,Excluded,2E6448,FALSE,,10340,Cox Communications_ Inc.,US,Baa3,BBB-,Broadcasting and Entertainment,Cable & Satellite Television,,,,s9.DJ CDX.NA.IG,0.393478261,9/11/2009,56099,58.68634625,65.64709629,72.26962193,78.55392317,84.5,88.51241549,92,95.35030993,98.24556757,100.7,
XTO,USD,Senior,NULL,9HBBD2,FALSE,,10347,XTO Energy Inc.,US,Baa2,BBB,Oil and Gas,Oil & Gas,,,,s9.DJ CDX.NA.IG,0.4,9/11/2009,291399,63.4,73,76.2,85.8,96,98.32853901,99.8,102.6876849,105.0133562,106.8,
NULL,USD,Senior,NULL,24AA49,FALSE,,10349,Crown Castle International Corp.,US,WR,B+,Telecommunications,Radio & Television,,,,s9.DJ CDX.NA.IG,0.396428571,9/11/2009,116063,50.98621619,72.98629058,83.16719466,91.81644714,100.2910428,110.4122126,120.5372678,129.1463548,137.5456674,145.711163,
CYT,USD,Senior,NULL,255AA2,FALSE,,10358,Cytec Industries Inc.,US,Baa3,BBB,Chemicals_ Plastics and Rubber,Chemicals & Plastics,,,,s9.DJ CDX.NA.IG,0.39167,9/11/2009,426105,80.8,88,96.1,111.3,126.3,131.8452996,137,141.4571525,145.5245987,149.2,
DNSFDS,USD,Senior,NULL,2G65A7,FALSE,,10365,Dean Foods Company,US,B3,BB-    *-,Beverage_ Food and Tobacco,Food Products,,,,s9.DJ CDX.NA.IG,0.4,9/11/2009,,,220.8,265.8,314.4,345.7,376.2,377.7411101,379.1,381.3490686,383.3831387,385.2
DE,USD,Senior,NULL,2G85AI,FALSE,,10366,Deere & Company,US,A2,A,Farming and Agriculture,Farming / Agriculture,,,,s9.DJ CDX.NA.IG,0.4,9/11/2009,2175,32.9,39.1,45.1,54.6,61.6,64.34150979,66.4,68.34277111,69.73306089,70.6,
DE,USD,Senior,Excluded,2G85AI,FALSE,,10366,Deere & Company,US,A2,A,Farming and Agriculture,Farming / Agriculture,,,,s9.DJ CDX.NA.IG,0.4,9/11/2009,2175,32.9,39.1,45.1,54.6,61.6,64.34150979,66.4,68.34277111,69.73306089,70.6,
