
******************** RISK RUN START (11/21/2010 12:42:12 AM - ) ********************

11/21/2010 12:42:12 AM - Script call: C:/Quantifi/9.4.1/bin/CreateCDSCurve.py 14-Jan-2010 Official -e
11/21/2010 12:42:23 AM - 	6718 [1] WARN  Quantifi.Curves.SurvivalFitCalibrator (null) - Forced survival curve ABK-AssurCorp.USD.SeniorUnsecured.Modified to fit by copying previous quote to tenor 6 Years
11/21/2010 12:42:31 AM - 	quote  EURLIBOR.SEP11.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  EURLIBOR.DEC11.Mid
11/21/2010 12:42:31 AM - 	quote  EURLIBOR.DEC11.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  EURLIBOR.MAR12.Mid
11/21/2010 12:42:31 AM - 	quote  EURLIBOR.MAR12.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  EURLIBOR.JUN12.Mid
11/21/2010 12:42:31 AM - 	quote  EURLIBOR.JUN12.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  EURLIBOR.SEP12.Mid
11/21/2010 12:42:31 AM - 	quote  EURLIBOR.SEP12.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  EURLIBOR.DEC12.Mid
11/21/2010 12:42:31 AM - 	quote  EURLIBOR.DEC12.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  EURLIBOR.MAR13.Mid
11/21/2010 12:42:31 AM - 	quote  EURLIBOR.MAR13.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  EURLIBOR.4 Years.Mid
11/21/2010 12:42:31 AM - 	quote  EURLIBOR.4 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  EURLIBOR.5 Years.Mid
11/21/2010 12:42:31 AM - 	quote  EURLIBOR.5 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  EURLIBOR.6 Years.Mid
11/21/2010 12:42:31 AM - 	quote  EURLIBOR.6 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  EURLIBOR.7 Years.Mid
11/21/2010 12:42:31 AM - 	quote  EURLIBOR.7 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  EURLIBOR.8 Years.Mid
11/21/2010 12:42:31 AM - 	quote  EURLIBOR.8 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  EURLIBOR.9 Years.Mid
11/21/2010 12:42:31 AM - 	quote  EURLIBOR.9 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  EURLIBOR.10 Years.Mid
11/21/2010 12:42:31 AM - 	quote  EURLIBOR.10 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  EURLIBOR.11 Years.Mid
11/21/2010 12:42:31 AM - 	quote  EURLIBOR.11 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  EURLIBOR.12 Years.Mid
11/21/2010 12:42:31 AM - 	quote  EURLIBOR.12 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  EURLIBOR.15 Years.Mid
11/21/2010 12:42:31 AM - 	quote  EURLIBOR.15 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  EURLIBOR.20 Years.Mid
11/21/2010 12:42:31 AM - 	quote  EURLIBOR.20 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  EURLIBOR.25 Years.Mid
11/21/2010 12:42:31 AM - 	quote  EURLIBOR.25 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  EURLIBOR.30 Years.Mid
11/21/2010 12:42:31 AM - 	quote  EURLIBOR.30 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  EURLIBOR.40 Years.Mid
11/21/2010 12:42:31 AM - 	quote  EURLIBOR.40 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  EURLIBOR.50 Years.Mid
11/21/2010 12:42:31 AM - 	quote  EURLIBOR.50 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  EURLIBOR.60 Years.Mid
11/21/2010 12:42:31 AM - 	quote  EURLIBOR.60 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  EURLIBOR.70 Years.Mid
11/21/2010 12:42:31 AM - 	quote  EURLIBOR.70 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  GBPLIBOR.1 Days.Mid
11/21/2010 12:42:31 AM - 	quote  GBPLIBOR.1 Days.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  GBPLIBOR.1 Weeks.Mid
11/21/2010 12:42:31 AM - 	quote  GBPLIBOR.1 Weeks.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  GBPLIBOR.1 Months.Mid
11/21/2010 12:42:31 AM - 	quote  GBPLIBOR.1 Months.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  GBPLIBOR.2 Months.Mid
11/21/2010 12:42:31 AM - 	quote  GBPLIBOR.2 Months.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  GBPLIBOR.17-Mar-2010.Mid
11/21/2010 12:42:31 AM - 	quote  GBPLIBOR.17-Mar-2010.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  GBPLIBOR.JUN10.Mid
11/21/2010 12:42:31 AM - 	quote  GBPLIBOR.JUN10.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  GBPLIBOR.SEP10.Mid
11/21/2010 12:42:31 AM - 	quote  GBPLIBOR.SEP10.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  GBPLIBOR.DEC10.Mid
11/21/2010 12:42:31 AM - 	quote  GBPLIBOR.DEC10.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  GBPLIBOR.MAR11.Mid
11/21/2010 12:42:31 AM - 	quote  GBPLIBOR.MAR11.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  GBPLIBOR.JUN11.Mid
11/21/2010 12:42:31 AM - 	quote  GBPLIBOR.JUN11.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  GBPLIBOR.SEP11.Mid
11/21/2010 12:42:31 AM - 	quote  GBPLIBOR.SEP11.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  GBPLIBOR.DEC11.Mid
11/21/2010 12:42:31 AM - 	quote  GBPLIBOR.DEC11.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  GBPLIBOR.MAR12.Mid
11/21/2010 12:42:31 AM - 	quote  GBPLIBOR.MAR12.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  GBPLIBOR.JUN12.Mid
11/21/2010 12:42:31 AM - 	quote  GBPLIBOR.JUN12.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  GBPLIBOR.SEP12.Mid
11/21/2010 12:42:31 AM - 	quote  GBPLIBOR.SEP12.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  GBPLIBOR.DEC12.Mid
11/21/2010 12:42:31 AM - 	quote  GBPLIBOR.DEC12.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  GBPLIBOR.MAR13.Mid
11/21/2010 12:42:31 AM - 	quote  GBPLIBOR.MAR13.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  GBPLIBOR.4 Years.Mid
11/21/2010 12:42:31 AM - 	quote  GBPLIBOR.4 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  GBPLIBOR.5 Years.Mid
11/21/2010 12:42:31 AM - 	quote  GBPLIBOR.5 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  GBPLIBOR.6 Years.Mid
11/21/2010 12:42:31 AM - 	quote  GBPLIBOR.6 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  GBPLIBOR.7 Years.Mid
11/21/2010 12:42:31 AM - 	quote  GBPLIBOR.7 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  GBPLIBOR.8 Years.Mid
11/21/2010 12:42:31 AM - 	quote  GBPLIBOR.8 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  GBPLIBOR.9 Years.Mid
11/21/2010 12:42:31 AM - 	quote  GBPLIBOR.9 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  GBPLIBOR.10 Years.Mid
11/21/2010 12:42:31 AM - 	quote  GBPLIBOR.10 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  GBPLIBOR.12 Years.Mid
11/21/2010 12:42:31 AM - 	quote  GBPLIBOR.12 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  GBPLIBOR.15 Years.Mid
11/21/2010 12:42:31 AM - 	quote  GBPLIBOR.15 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  GBPLIBOR.20 Years.Mid
11/21/2010 12:42:31 AM - 	quote  GBPLIBOR.20 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  GBPLIBOR.25 Years.Mid
11/21/2010 12:42:31 AM - 	quote  GBPLIBOR.25 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  GBPLIBOR.30 Years.Mid
11/21/2010 12:42:31 AM - 	quote  GBPLIBOR.30 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  GBPLIBOR.40 Years.Mid
11/21/2010 12:42:31 AM - 	quote  GBPLIBOR.40 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  GBPLIBOR.50 Years.Mid
11/21/2010 12:42:31 AM - 	quote  GBPLIBOR.50 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  GBPLIBOR.60 Years.Mid
11/21/2010 12:42:31 AM - 	quote  GBPLIBOR.60 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  GBPLIBOR.70 Years.Mid
11/21/2010 12:42:31 AM - 	quote  GBPLIBOR.70 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  USDLIBOR.17-Mar-2010.Mid
11/21/2010 12:42:31 AM - 	quote  USDLIBOR.17-Mar-2010.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  USDLIBOR.JUN10.Mid
11/21/2010 12:42:31 AM - 	quote  USDLIBOR.JUN10.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  USDLIBOR.SEP10.Mid
11/21/2010 12:42:31 AM - 	quote  USDLIBOR.SEP10.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  USDLIBOR.DEC10.Mid
11/21/2010 12:42:31 AM - 	quote  USDLIBOR.DEC10.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  USDLIBOR.MAR11.Mid
11/21/2010 12:42:31 AM - 	quote  USDLIBOR.MAR11.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  USDLIBOR.JUN11.Mid
11/21/2010 12:42:31 AM - 	quote  USDLIBOR.JUN11.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  USDLIBOR.SEP11.Mid
11/21/2010 12:42:31 AM - 	quote  USDLIBOR.SEP11.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  USDLIBOR.2 Years.Mid
11/21/2010 12:42:31 AM - 	quote  USDLIBOR.2 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  USDLIBOR.3 Years.Mid
11/21/2010 12:42:31 AM - 	quote  USDLIBOR.3 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  USDLIBOR.4 Years.Mid
11/21/2010 12:42:31 AM - 	quote  USDLIBOR.4 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  USDLIBOR.5 Years.Mid
11/21/2010 12:42:31 AM - 	quote  USDLIBOR.5 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  USDLIBOR.6 Years.Mid
11/21/2010 12:42:31 AM - 	quote  USDLIBOR.6 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  USDLIBOR.7 Years.Mid
11/21/2010 12:42:31 AM - 	quote  USDLIBOR.7 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  USDLIBOR.8 Years.Mid
11/21/2010 12:42:31 AM - 	quote  USDLIBOR.8 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  USDLIBOR.9 Years.Mid
11/21/2010 12:42:31 AM - 	quote  USDLIBOR.9 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  USDLIBOR.10 Years.Mid
11/21/2010 12:42:31 AM - 	quote  USDLIBOR.10 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  USDLIBOR.12 Years.Mid
11/21/2010 12:42:31 AM - 	quote  USDLIBOR.12 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  USDLIBOR.15 Years.Mid
11/21/2010 12:42:31 AM - 	quote  USDLIBOR.15 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  USDLIBOR.20 Years.Mid
11/21/2010 12:42:31 AM - 	quote  USDLIBOR.20 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  USDLIBOR.25 Years.Mid
11/21/2010 12:42:31 AM - 	quote  USDLIBOR.25 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  USDLIBOR.30 Years.Mid
11/21/2010 12:42:31 AM - 	quote  USDLIBOR.30 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  USDLIBOR.40 Years.Mid
11/21/2010 12:42:31 AM - 	quote  USDLIBOR.40 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  USDLIBOR.50 Years.Mid
11/21/2010 12:42:31 AM - 	quote  USDLIBOR.50 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  CADLIBOR.15-Mar-2010.Mid
11/21/2010 12:42:31 AM - 	quote  CADLIBOR.15-Mar-2010.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  CADLIBOR.JUN10.Mid
11/21/2010 12:42:31 AM - 	quote  CADLIBOR.JUN10.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  CADLIBOR.SEP10.Mid
11/21/2010 12:42:31 AM - 	quote  CADLIBOR.SEP10.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  CADLIBOR.DEC10.Mid
11/21/2010 12:42:31 AM - 	quote  CADLIBOR.DEC10.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  CADLIBOR.MAR11.Mid
11/21/2010 12:42:31 AM - 	quote  CADLIBOR.MAR11.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  CADLIBOR.JUN11.Mid
11/21/2010 12:42:31 AM - 	quote  CADLIBOR.JUN11.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  CADLIBOR.SEP11.Mid
11/21/2010 12:42:31 AM - 	quote  CADLIBOR.SEP11.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  CADLIBOR.DEC11.Mid
11/21/2010 12:42:31 AM - 	quote  CADLIBOR.DEC11.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  CADLIBOR.2 Years.Mid
11/21/2010 12:42:31 AM - 	quote  CADLIBOR.2 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  CADLIBOR.3 Years.Mid
11/21/2010 12:42:31 AM - 	quote  CADLIBOR.3 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  CADLIBOR.4 Years.Mid
11/21/2010 12:42:31 AM - 	quote  CADLIBOR.4 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  CADLIBOR.5 Years.Mid
11/21/2010 12:42:31 AM - 	quote  CADLIBOR.5 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  CADLIBOR.6 Years.Mid
11/21/2010 12:42:31 AM - 	quote  CADLIBOR.6 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  CADLIBOR.7 Years.Mid
11/21/2010 12:42:31 AM - 	quote  CADLIBOR.7 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  CADLIBOR.8 Years.Mid
11/21/2010 12:42:31 AM - 	quote  CADLIBOR.8 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  CADLIBOR.9 Years.Mid
11/21/2010 12:42:31 AM - 	quote  CADLIBOR.9 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  CADLIBOR.10 Years.Mid
11/21/2010 12:42:31 AM - 	quote  CADLIBOR.10 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  CADLIBOR.12 Years.Mid
11/21/2010 12:42:31 AM - 	quote  CADLIBOR.12 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  CADLIBOR.15 Years.Mid
11/21/2010 12:42:31 AM - 	quote  CADLIBOR.15 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  CADLIBOR.20 Years.Mid
11/21/2010 12:42:31 AM - 	quote  CADLIBOR.20 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  CADLIBOR.25 Years.Mid
11/21/2010 12:42:31 AM - 	quote  CADLIBOR.25 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  CADLIBOR.30 Years.Mid
11/21/2010 12:42:31 AM - 	quote  CADLIBOR.30 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  CADLIBOR.35 Years.Mid
11/21/2010 12:42:31 AM - 	quote  CADLIBOR.35 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  CADLIBOR.40 Years.Mid
11/21/2010 12:42:31 AM - 	quote  CADLIBOR.40 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  CADLIBOR.50 Years.Mid
11/21/2010 12:42:32 AM - 	quote  CADLIBOR.50 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:32 AM - Script call: C:/Quantifi/9.4.1/bin/CopyQuotes.py 13-Jan-2010 14-Jan-2010 --quoteType="ED Future" -m "Insert" -f C:/Quantifi/NightlyBatch/20100114/logs/CopyEDFuture.csv -e
11/21/2010 12:42:38 AM - 	Found 45 quotes for 13-Jan-2010
11/21/2010 12:42:38 AM - 	Actual Run: Added 0 quotes and updated 0 quotes.
11/21/2010 12:42:39 AM - Script call: C:/Quantifi/9.4.1/bin/CopyQuotes.py 13-Jan-2010 14-Jan-2010 --quoteType="MM Rate" -m "Insert" -f C:/Quantifi/NightlyBatch/20100114/logs/CopyMMRate.csv -e
11/21/2010 12:42:45 AM - 	Found 34 quotes for 13-Jan-2010
11/21/2010 12:42:46 AM - 	**13-Jan-2010 to 14-Jan-2010, <Insert> Saved:True MarketSet:Closing Type:MM Rate Source:Optex Name:EURLIBOR.2 Days.Mid Value:0.0082597
