
******************** RISK RUN START (11/20/2010 11:03:08 PM - ) ********************

11/20/2010 11:03:08 PM - Script call: C:/Quantifi/9.4.1/bin/CreateCDSCurve.py 28-Dec-2009 Official -e
11/20/2010 11:03:19 PM - 	7203 [1] WARN  Quantifi.Curves.SurvivalFitCalibrator (null) - Forced survival curve AIFUL.JPY.SeniorUnsecured.Excluded to fit by copying previous quote to tenor 5 Years
11/20/2010 11:03:26 PM - 	Treating quote  CADLIBOR.9 Years.Mid
11/20/2010 11:03:26 PM - 	quote  CADLIBOR.9 Years.Mid  has been created/updated successfully.
11/20/2010 11:03:26 PM - 	Treating quote  CADLIBOR.10 Years.Mid
11/20/2010 11:03:26 PM - 	quote  CADLIBOR.10 Years.Mid  has been created/updated successfully.
11/20/2010 11:03:26 PM - 	Treating quote  CADLIBOR.12 Years.Mid
11/20/2010 11:03:26 PM - 	quote  CADLIBOR.12 Years.Mid  has been created/updated successfully.
11/20/2010 11:03:26 PM - 	Treating quote  CADLIBOR.15 Years.Mid
11/20/2010 11:03:26 PM - 	quote  CADLIBOR.15 Years.Mid  has been created/updated successfully.
11/20/2010 11:03:26 PM - 	Treating quote  CADLIBOR.20 Years.Mid
11/20/2010 11:03:26 PM - 	quote  CADLIBOR.20 Years.Mid  has been created/updated successfully.
11/20/2010 11:03:26 PM - 	Treating quote  CADLIBOR.25 Years.Mid
11/20/2010 11:03:26 PM - 	quote  CADLIBOR.25 Years.Mid  has been created/updated successfully.
11/20/2010 11:03:26 PM - 	Treating quote  CADLIBOR.30 Years.Mid
11/20/2010 11:03:26 PM - 	quote  CADLIBOR.30 Years.Mid  has been created/updated successfully.
11/20/2010 11:03:26 PM - 	Treating quote  CADLIBOR.35 Years.Mid
11/20/2010 11:03:26 PM - 	quote  CADLIBOR.35 Years.Mid  has been created/updated successfully.
11/20/2010 11:03:26 PM - 	Treating quote  CADLIBOR.40 Years.Mid
11/20/2010 11:03:26 PM - 	quote  CADLIBOR.40 Years.Mid  has been created/updated successfully.
11/20/2010 11:03:26 PM - 	Treating quote  CADLIBOR.50 Years.Mid
11/20/2010 11:03:26 PM - 	quote  CADLIBOR.50 Years.Mid  has been created/updated successfully.
11/20/2010 11:03:26 PM - 	Treating quote  USDLIBOR.17-Mar-2010.Mid
11/20/2010 11:03:26 PM - 	quote  USDLIBOR.17-Mar-2010.Mid  has been created/updated successfully.
11/20/2010 11:03:26 PM - 	Treating quote  USDLIBOR.JUN10.Mid
11/20/2010 11:03:26 PM - 	quote  USDLIBOR.JUN10.Mid  has been created/updated successfully.
11/20/2010 11:03:26 PM - 	Treating quote  USDLIBOR.SEP10.Mid
11/20/2010 11:03:26 PM - 	quote  USDLIBOR.SEP10.Mid  has been created/updated successfully.
11/20/2010 11:03:26 PM - 	Treating quote  USDLIBOR.DEC10.Mid
11/20/2010 11:03:26 PM - 	quote  USDLIBOR.DEC10.Mid  has been created/updated successfully.
11/20/2010 11:03:26 PM - 	Treating quote  USDLIBOR.MAR11.Mid
11/20/2010 11:03:26 PM - 	quote  USDLIBOR.MAR11.Mid  has been created/updated successfully.
11/20/2010 11:03:26 PM - 	Treating quote  USDLIBOR.JUN11.Mid
11/20/2010 11:03:26 PM - 	quote  USDLIBOR.JUN11.Mid  has been created/updated successfully.
11/20/2010 11:03:26 PM - 	Treating quote  USDLIBOR.SEP11.Mid
11/20/2010 11:03:26 PM - 	quote  USDLIBOR.SEP11.Mid  has been created/updated successfully.
11/20/2010 11:03:26 PM - 	Treating quote  USDLIBOR.2 Years.Mid
11/20/2010 11:03:26 PM - 	quote  USDLIBOR.2 Years.Mid  has been created/updated successfully.
11/20/2010 11:03:26 PM - 	Treating quote  USDLIBOR.3 Years.Mid
11/20/2010 11:03:26 PM - 	quote  USDLIBOR.3 Years.Mid  has been created/updated successfully.
11/20/2010 11:03:26 PM - 	Treating quote  USDLIBOR.4 Years.Mid
11/20/2010 11:03:26 PM - 	quote  USDLIBOR.4 Years.Mid  has been created/updated successfully.
11/20/2010 11:03:26 PM - 	Treating quote  USDLIBOR.5 Years.Mid
11/20/2010 11:03:26 PM - 	quote  USDLIBOR.5 Years.Mid  has been created/updated successfully.
11/20/2010 11:03:26 PM - 	Treating quote  USDLIBOR.6 Years.Mid
11/20/2010 11:03:26 PM - 	quote  USDLIBOR.6 Years.Mid  has been created/updated successfully.
11/20/2010 11:03:26 PM - 	Treating quote  USDLIBOR.7 Years.Mid
11/20/2010 11:03:26 PM - 	quote  USDLIBOR.7 Years.Mid  has been created/updated successfully.
11/20/2010 11:03:26 PM - 	Treating quote  USDLIBOR.8 Years.Mid
11/20/2010 11:03:26 PM - 	quote  USDLIBOR.8 Years.Mid  has been created/updated successfully.
11/20/2010 11:03:26 PM - 	Treating quote  USDLIBOR.9 Years.Mid
11/20/2010 11:03:26 PM - 	quote  USDLIBOR.9 Years.Mid  has been created/updated successfully.
11/20/2010 11:03:26 PM - 	Treating quote  USDLIBOR.10 Years.Mid
11/20/2010 11:03:26 PM - 	quote  USDLIBOR.10 Years.Mid  has been created/updated successfully.
11/20/2010 11:03:26 PM - 	Treating quote  USDLIBOR.12 Years.Mid
11/20/2010 11:03:26 PM - 	quote  USDLIBOR.12 Years.Mid  has been created/updated successfully.
11/20/2010 11:03:26 PM - 	Treating quote  USDLIBOR.15 Years.Mid
11/20/2010 11:03:26 PM - 	quote  USDLIBOR.15 Years.Mid  has been created/updated successfully.
11/20/2010 11:03:26 PM - 	Treating quote  USDLIBOR.20 Years.Mid
11/20/2010 11:03:26 PM - 	quote  USDLIBOR.20 Years.Mid  has been created/updated successfully.
11/20/2010 11:03:26 PM - 	Treating quote  USDLIBOR.25 Years.Mid
11/20/2010 11:03:26 PM - 	quote  USDLIBOR.25 Years.Mid  has been created/updated successfully.
11/20/2010 11:03:26 PM - 	Treating quote  USDLIBOR.30 Years.Mid
11/20/2010 11:03:26 PM - 	quote  USDLIBOR.30 Years.Mid  has been created/updated successfully.
11/20/2010 11:03:26 PM - 	Treating quote  USDLIBOR.40 Years.Mid
11/20/2010 11:03:26 PM - 	quote  USDLIBOR.40 Years.Mid  has been created/updated successfully.
11/20/2010 11:03:26 PM - 	Treating quote  USDLIBOR.50 Years.Mid
11/20/2010 11:03:26 PM - 	quote  USDLIBOR.50 Years.Mid  has been created/updated successfully.
11/20/2010 11:03:27 PM - Script call: C:/Quantifi/9.4.1/bin/CopyQuotes.py 25-Dec-2009 28-Dec-2009 --quoteType="ED Future" -m "Insert" -f C:/Quantifi/NightlyBatch/20091228/logs/CopyEDFuture.csv -e
11/20/2010 11:03:33 PM - 	Found 45 quotes for 25-Dec-2009
11/20/2010 11:03:33 PM - 	Actual Run: Added 0 quotes and updated 0 quotes.
11/20/2010 11:03:34 PM - Script call: C:/Quantifi/9.4.1/bin/CopyQuotes.py 25-Dec-2009 28-Dec-2009 --quoteType="MM Rate" -m "Insert" -f C:/Quantifi/NightlyBatch/20091228/logs/CopyMMRate.csv -e
11/20/2010 11:03:40 PM - 	Found 34 quotes for 25-Dec-2009
11/20/2010 11:03:41 PM - 	**25-Dec-2009 to 28-Dec-2009, <Insert> Saved:True MarketSet:Closing Type:MM Rate Source:Optex Name:EURLIBOR.2 Days.Mid Value:0.0082597
11/20/2010 11:03:41 PM - 	**25-Dec-2009 to 28-Dec-2009, <Insert> Saved:True MarketSet:Closing Type:MM Rate Source:Optex Name:USDLIBOR.1 Weeks.Mid Value:0.000376
11/20/2010 11:03:41 PM - 	Actual Run: Added 2 quotes and updated 0 quotes.
11/20/2010 11:03:43 PM - Script call: C:/Quantifi/9.4.1/bin/CopyQuotes.py 25-Dec-2009 28-Dec-2009 --quoteType="Swap Rate" -m "Insert" -f C:/Quantifi/NightlyBatch/20091228/logs/CopySwapRate.csv -e
11/20/2010 11:03:49 PM - 	Found 86 quotes for 25-Dec-2009
11/20/2010 11:03:49 PM - 	Actual Run: Added 0 quotes and updated 0 quotes.
11/20/2010 11:03:50 PM - Script call: C:/Quantifi/9.4.1/bin/NextImportFX.py C:/Quantifi/NightlyBatch/20091228/Next-Data\FXRates.20091228.CSV -e
11/20/2010 11:03:57 PM - Script call: C:/Quantifi/9.4.1/bin/NextImportTrancheQuotes.py C:/Quantifi/NightlyBatch/20091228/Next-Data\CreditIndexTrancheMarks.20091228.CSV -e
11/20/2010 11:04:03 PM - 	Invalid path C:/Quantifi/NightlyBatch/20091228/Next-Data\CreditIndexTrancheMarks.20091228.CSV
11/20/2010 11:04:04 PM - Script call: C:/Quantifi/9.4.1/bin/CopyQuotes.py 25-Dec-2009 28-Dec-2009 --quoteType="Tranche Fee" -m "Insert" -f C:/Quantifi/NightlyBatch/20091228/logs/CopyTrancheFee.csv -e
11/20/2010 11:04:10 PM - 	Found 18 quotes for 25-Dec-2009
11/20/2010 11:04:10 PM - 	Actual Run: Added 0 quotes and updated 0 quotes.
11/20/2010 11:04:11 PM - Script call: C:/Quantifi/9.4.1/bin/CopyQuotes.py 25-Dec-2009 28-Dec-2009 --quoteType="Tranche Premium" -m "Insert" -f C:/Quantifi/NightlyBatch/20091228/logs/CopyTranchePremium.csv -e
11/20/2010 11:04:17 PM - 	Found 66 quotes for 25-Dec-2009
11/20/2010 11:04:17 PM - 	Actual Run: Added 0 quotes and updated 0 quotes.
11/20/2010 11:04:18 PM - Script call: C:/Quantifi/9.4.1/bin/CopyQuotes.py 25-Dec-2009 28-Dec-2009 --quoteType="CDX Spread" -m "Insert" -f C:/Quantifi/NightlyBatch/20091228/logs/CopyCDXSpread.csv -e
11/20/2010 11:04:24 PM - 	Found 15 quotes for 25-Dec-2009
11/20/2010 11:04:25 PM - 	Actual Run: Added 0 quotes and updated 0 quotes.
11/20/2010 11:04:25 PM - Script call: C:/Quantifi/9.4.1/bin/ImportNextData.py C:/Quantifi/NightlyBatch/20091228/Next-Data\CDSSpreads.20091228.CSV -e
11/20/2010 11:05:19 PM - 	Mapping outdated REDs to previous tickers
11/20/2010 11:05:19 PM - 	Quote  DANACO.USD.SeniorUnsecured.Modified.Recovery  has already been treated.
11/20/2010 11:05:19 PM - 	Quote  MLCOM.USD.SeniorUnsecured.Modified.Recovery  has already been treated.
11/20/2010 11:05:19 PM - 	Quote  FNMA-New.USD.Subordinated.Modified.Recovery  has already been treated.
11/20/2010 11:05:19 PM - 	Quote  WCPINC.USD.SeniorUnsecured.Modified.Recovery  has already been treated.
11/20/2010 11:05:19 PM - 	Quote  WYELLC.USD.SeniorUnsecured.Modified.Recovery  has already been treated.
11/20/2010 11:05:19 PM - 	Quote  WYELLC.USD.SeniorUnsecured.Excluded.Recovery  has already been treated.
11/20/2010 11:05:19 PM - 	Quote  BRK-RACQ.USD.SeniorUnsecured.Modified.Recovery  has already been treated.
11/20/2010 11:05:19 PM - 	Quote  BRK-RACQ.USD.SeniorUnsecured.Excluded.Recovery  has already been treated.
11/20/2010 11:05:20 PM - 	Quote  CAWILD.EUR.SeniorUnsecured.ModifiedModified.Recovery  has already been treated.
11/20/2010 11:05:20 PM - 	Quote  CLINKI.USD.SeniorUnsecured.Modified.Recovery  has already been treated.
11/20/2010 11:05:20 PM - 	Quote  CLINKI.USD.SeniorUnsecured.Excluded.Recovery  has already been treated.
11/20/2010 11:05:20 PM - 	Quote  DNHOLD.USD.SeniorUnsecured.Modified.Recovery  has already been treated.
11/20/2010 11:05:20 PM - 	Quote  STOL.EUR.SeniorUnsecured.ModifiedModified.Recovery  has already been treated.
11/20/2010 11:05:20 PM - 	Quote  EDSLLC.USD.SeniorUnsecured.Modified.Recovery  has already been treated.
11/20/2010 11:05:20 PM - 	Quote  NEXTEI.USD.SeniorUnsecured.Modified.Recovery  has already been treated.
11/20/2010 11:05:20 PM - 	Quote  DEXBB-AGM.USD.SeniorUnsecured.Modified.Recovery  has already been treated.
11/20/2010 11:05:20 PM - 	Quote  GRTELV.USD.SeniorUnsecured.Modified.Recovery  has already been treated.
11/20/2010 11:05:20 PM - 	Quote  HLTWID.USD.SeniorUnsecured.Modified.Recovery  has already been treated.
11/20/2010 11:05:20 PM - 	Quote  HLTWID.USD.SeniorUnsecured.Excluded.Recovery  has already been treated.
11/20/2010 11:05:20 PM - 	Quote  KMINC.USD.SeniorUnsecured.Modified.Recovery  has already been treated.
11/20/2010 11:05:20 PM - 	Quote  MKCINC-MSDC.USD.SeniorUnsecured.Modified.Recovery  has already been treated.
11/20/2010 11:05:20 PM - 	Quote  MGMRI.USD.SeniorUnsecured.Modified.Recovery  has already been treated.
11/20/2010 11:05:20 PM - 	Quote  STNBDK.USD.SeniorUnsecured.Modified.Recovery  has already been treated.
11/20/2010 11:05:20 PM - 	Quote  CTSGL.EUR.SeniorUnsecured.ModifiedModified.Recovery  has already been treated.
11/20/2010 11:05:20 PM - 	Quote  FNMA-New.USD.SeniorUnsecured.Modified.Recovery  has already been treated.
11/20/2010 11:05:20 PM - 	Quote  FNMA-New.USD.SeniorUnsecured.Excluded.Recovery  has already been treated.
11/20/2010 11:05:20 PM - 	Quote  FHLMC-New.USD.SeniorUnsecured.Modified.Recovery  has already been treated.
11/20/2010 11:05:21 PM - 	Quote  FHLMC-New.USD.SeniorUnsecured.Excluded.Recovery  has already been treated.
11/20/2010 11:05:21 PM - 	Quote  SWLHLD.EUR.SeniorUnsecured.ModifiedModified.Recovery  has already been treated.
11/20/2010 11:05:21 PM - 	Quote  ZINCO.EUR.SeniorUnsecured.ModifiedModified.Recovery  has already been treated.
11/20/2010 11:05:21 PM - 	Quote  GMAINC.USD.SeniorUnsecured.Modified.Recovery  has already been treated.
11/20/2010 11:05:21 PM - 	Quote  AGASNV.EUR.SeniorUnsecured.ModifiedModified.Recovery  has already been treated.
11/20/2010 11:05:21 PM - 	Quote  AGASNV.EUR.Subordinated.ModifiedModified.Recovery  has already been treated.
11/20/2010 11:05:21 PM - 	Quote  PHMG.USD.SeniorUnsecured.Modified.Recovery  has already been treated.
11/20/2010 11:05:21 PM - 	Quote  PHMG.USD.SeniorUnsecured.Excluded.Recovery  has already been treated.
11/20/2010 11:05:21 PM - 	Quote  USTLLC.USD.SeniorUnsecured.Modified.Recovery  has already been treated.
11/20/2010 11:05:21 PM - 	Quote  CSMPTE.USD.SeniorUnsecured.Modified.Recovery  has already been treated.
11/20/2010 11:05:21 PM - 	Quote  TCHNI.EUR.SeniorUnsecured.ModifiedModified.Recovery  has already been treated.
11/20/2010 11:05:21 PM - 	Quote  CVSHLD.USD.SeniorUnsecured.Modified.Recovery  has already been treated.
11/20/2010 11:05:21 PM - 	Quote  INTSAT.USD.SeniorUnsecured.Modified.Recovery  has already been treated.
11/20/2010 11:05:21 PM - 	Quote  BSCH.EUR.SeniorUnsecured.ModifiedModified.Recovery  has already been treated.
11/20/2010 11:05:21 PM - 	Quote  MONTE.EUR.SeniorUnsecured.ModifiedModified.Recovery  has already been treated.
11/20/2010 11:05:21 PM - 	Quote  RENSEL.JPY.SeniorUnsecured.Excluded.Recovery  has already been treated.
11/20/2010 11:05:21 PM - 	Quote  SPMD.USD.SeniorUnsecured.Modified.Recovery  has already been treated.
11/20/2010 11:05:21 PM - 	Quote  SPMD.USD.SeniorUnsecured.Excluded.Recovery  has already been treated.
11/20/2010 11:05:21 PM - 	Quote  WYELLC.USD.SeniorUnsecured.ModifiedModified.1y.Mid  has already been treated.
11/20/2010 11:05:21 PM - 	Quote  WYELLC.USD.SeniorUnsecured.ModifiedModified.2y.Mid  has already been treated.
11/20/2010 11:05:21 PM - 	Quote  WYELLC.USD.SeniorUnsecured.ModifiedModified.3y.Mid  has already been treated.
11/20/2010 11:05:21 PM - 	Quote  WYELLC.USD.SeniorUnsecured.ModifiedModified.4y.Mid  has already been treated.
11/20/2010 11:05:21 PM - 	Quote  WYELLC.USD.SeniorUnsecured.ModifiedModified.5y.Mid  has already been treated.
11/20/2010 11:05:21 PM - 	Quote  WYELLC.USD.SeniorUnsecured.ModifiedModified.6y.Mid  has already been treated.
11/20/2010 11:05:21 PM - 	Quote  WYELLC.USD.SeniorUnsecured.ModifiedModified.7y.Mid  has already been treated.
11/20/2010 11:05:21 PM - 	Quote  WYELLC.USD.SeniorUnsecured.ModifiedModified.8y.Mid  has already been treated.
11/20/2010 11:05:21 PM - 	Quote  WYELLC.USD.SeniorUnsecured.ModifiedModified.9y.Mid  has already been treated.
11/20/2010 11:05:21 PM - 	Quote  WYELLC.USD.SeniorUnsecured.ModifiedModified.10y.Mid  has already been treated.
11/20/2010 11:05:21 PM - 	Quote  WYELLC.USD.SeniorUnsecured.ModifiedModified.Recovery  has already been treated.
11/20/2010 11:05:21 PM - 	Quote  WYELLC.USD.SeniorUnsecured.ModifiedModified.Recovery  has already been treated.
11/20/2010 11:05:21 PM - 	Quote  WYELLC.USD.SeniorUnsecured.ModifiedModified.Recovery  has already been treated.
11/20/2010 11:05:21 PM - 	Quote  BRK-RACQ.USD.SeniorUnsecured.ModifiedModified.1y.Mid  has already been treated.
11/20/2010 11:05:21 PM - 	Quote  BRK-RACQ.USD.SeniorUnsecured.ModifiedModified.2y.Mid  has already been treated.
11/20/2010 11:05:21 PM - 	Quote  BRK-RACQ.USD.SeniorUnsecured.ModifiedModified.3y.Mid  has already been treated.
11/20/2010 11:05:21 PM - 	Quote  BRK-RACQ.USD.SeniorUnsecured.ModifiedModified.4y.Mid  has already been treated.
11/20/2010 11:05:21 PM - 	Quote  BRK-RACQ.USD.SeniorUnsecured.ModifiedModified.5y.Mid  has already been treated.
11/20/2010 11:05:21 PM - 	Quote  BRK-RACQ.USD.SeniorUnsecured.ModifiedModified.6y.Mid  has already been treated.
11/20/2010 11:05:21 PM - 	Quote  BRK-RACQ.USD.SeniorUnsecured.ModifiedModified.7y.Mid  has already been treated.
11/20/2010 11:05:21 PM - 	Quote  BRK-RACQ.USD.SeniorUnsecured.ModifiedModified.8y.Mid  has already been treated.
11/20/2010 11:05:21 PM - 	Quote  BRK-RACQ.USD.SeniorUnsecured.ModifiedModified.9y.Mid  has already been treated.
11/20/2010 11:05:21 PM - 	Quote  BRK-RACQ.USD.SeniorUnsecured.ModifiedModified.10y.Mid  has already been treated.
11/20/2010 11:05:21 PM - 	Quote  BRK-RACQ.USD.SeniorUnsecured.ModifiedModified.Recovery  has already been treated.
11/20/2010 11:05:21 PM - 	Quote  BRK-RACQ.USD.SeniorUnsecured.ModifiedModified.Recovery  has already been treated.
11/20/2010 11:05:21 PM - 	Quote  BRK-RACQ.USD.SeniorUnsecured.ModifiedModified.Recovery  has already been treated.
11/20/2010 11:05:21 PM - 	Quote  CLINKI.USD.SeniorUnsecured.ModifiedModified.1y.Mid  has already been treated.
11/20/2010 11:05:21 PM - 	Quote  CLINKI.USD.SeniorUnsecured.ModifiedModified.2y.Mid  has already been treated.
11/20/2010 11:05:22 PM - 	Quote  CLINKI.USD.SeniorUnsecured.ModifiedModified.3y.Mid  has already been treated.
11/20/2010 11:05:22 PM - 	Quote  CLINKI.USD.SeniorUnsecured.ModifiedModified.4y.Mid  has already been treated.
11/20/2010 11:05:22 PM - 	Quote  CLINKI.USD.SeniorUnsecured.ModifiedModified.5y.Mid  has already been treated.
11/20/2010 11:05:22 PM - 	Quote  CLINKI.USD.SeniorUnsecured.ModifiedModified.6y.Mid  has already been treated.
11/20/2010 11:05:22 PM - 	Quote  CLINKI.USD.SeniorUnsecured.ModifiedModified.7y.Mid  has already been treated.
11/20/2010 11:05:22 PM - 	Quote  CLINKI.USD.SeniorUnsecured.ModifiedModified.8y.Mid  has already been treated.
11/20/2010 11:05:22 PM - 	Quote  CLINKI.USD.SeniorUnsecured.ModifiedModified.9y.Mid  has already been treated.
11/20/2010 11:05:22 PM - 	Quote  CLINKI.USD.SeniorUnsecured.ModifiedModified.10y.Mid  has already been treated.
11/20/2010 11:05:22 PM - 	Quote  CLINKI.USD.SeniorUnsecured.ModifiedModified.Recovery  has already been treated.
11/20/2010 11:05:22 PM - 	Quote  CLINKI.USD.SeniorUnsecured.ModifiedModified.Recovery  has already been treated.
11/20/2010 11:05:22 PM - 	Quote  CLINKI.USD.SeniorUnsecured.ModifiedModified.Recovery  has already been treated.
11/20/2010 11:05:22 PM - 	Quote  FNMA-New.USD.SeniorUnsecured.ModifiedModified.1y.Mid  has already been treated.
11/20/2010 11:05:22 PM - 	Quote  FNMA-New.USD.SeniorUnsecured.ModifiedModified.2y.Mid  has already been treated.
11/20/2010 11:05:22 PM - 	Quote  FNMA-New.USD.SeniorUnsecured.ModifiedModified.3y.Mid  has already been treated.
11/20/2010 11:05:22 PM - 	Quote  FNMA-New.USD.SeniorUnsecured.ModifiedModified.4y.Mid  has already been treated.
11/20/2010 11:05:22 PM - 	Quote  FNMA-New.USD.SeniorUnsecured.ModifiedModified.5y.Mid  has already been treated.
11/20/2010 11:05:22 PM - 	Quote  FNMA-New.USD.SeniorUnsecured.ModifiedModified.6y.Mid  has already been treated.
11/20/2010 11:05:22 PM - 	Quote  FNMA-New.USD.SeniorUnsecured.ModifiedModified.7y.Mid  has already been treated.
11/20/2010 11:05:22 PM - 	Quote  FNMA-New.USD.SeniorUnsecured.ModifiedModified.8y.Mid  has already been treated.
11/20/2010 11:05:22 PM - 	Quote  FNMA-New.USD.SeniorUnsecured.ModifiedModified.9y.Mid  has already been treated.
11/20/2010 11:05:22 PM - 	Quote  FNMA-New.USD.SeniorUnsecured.ModifiedModified.10y.Mid  has already been treated.
11/20/2010 11:05:22 PM - 	Quote  FNMA-New.USD.SeniorUnsecured.ModifiedModified.Recovery  has already been treated.
11/20/2010 11:05:22 PM - 	Quote  FNMA-New.USD.SeniorUnsecured.ModifiedModified.Recovery  has already been treated.
11/20/2010 11:05:22 PM - 	Quote  FNMA-New.USD.SeniorUnsecured.ModifiedModified.Recovery  has already been treated.
11/20/2010 11:05:22 PM - 	Quote  FHLMC-New.USD.SeniorUnsecured.ModifiedModified.1y.Mid  has already been treated.
11/20/2010 11:05:22 PM - 	Quote  FHLMC-New.USD.SeniorUnsecured.ModifiedModified.2y.Mid  has already been treated.
11/20/2010 11:05:22 PM - 	Quote  FHLMC-New.USD.SeniorUnsecured.ModifiedModified.3y.Mid  has already been treated.
11/20/2010 11:05:22 PM - 	Quote  FHLMC-New.USD.SeniorUnsecured.ModifiedModified.4y.Mid  has already been treated.
11/20/2010 11:05:22 PM - 	Quote  FHLMC-New.USD.SeniorUnsecured.ModifiedModified.5y.Mid  has already been treated.
11/20/2010 11:05:22 PM - 	Quote  FHLMC-New.USD.SeniorUnsecured.ModifiedModified.6y.Mid  has already been treated.
11/20/2010 11:05:22 PM - 	Quote  FHLMC-New.USD.SeniorUnsecured.ModifiedModified.7y.Mid  has already been treated.
11/20/2010 11:05:22 PM - 	Quote  FHLMC-New.USD.SeniorUnsecured.ModifiedModified.8y.Mid  has already been treated.
11/20/2010 11:05:22 PM - 	Quote  FHLMC-New.USD.SeniorUnsecured.ModifiedModified.9y.Mid  has already been treated.
11/20/2010 11:05:22 PM - 	Quote  FHLMC-New.USD.SeniorUnsecured.ModifiedModified.10y.Mid  has already been treated.
11/20/2010 11:05:22 PM - 	Quote  FHLMC-New.USD.SeniorUnsecured.ModifiedModified.Recovery  has already been treated.
11/20/2010 11:05:22 PM - 	Quote  FHLMC-New.USD.SeniorUnsecured.ModifiedModified.Recovery  has already been treated.
11/20/2010 11:05:22 PM - 	Quote  FHLMC-New.USD.SeniorUnsecured.ModifiedModified.Recovery  has already been treated.
11/20/2010 11:05:22 PM - 	Quote  ZINCO.EUR.SeniorUnsecured.ModifiedModified.1y.Mid  has already been treated.
11/20/2010 11:05:22 PM - 	Quote  ZINCO.EUR.SeniorUnsecured.ModifiedModified.2y.Mid  has already been treated.
11/20/2010 11:05:22 PM - 	Quote  ZINCO.EUR.SeniorUnsecured.ModifiedModified.3y.Mid  has already been treated.
11/20/2010 11:05:22 PM - 	Quote  ZINCO.EUR.SeniorUnsecured.ModifiedModified.4y.Mid  has already been treated.
11/20/2010 11:05:22 PM - 	Quote  ZINCO.EUR.SeniorUnsecured.ModifiedModified.5y.Mid  has already been treated.
11/20/2010 11:05:22 PM - 	Quote  ZINCO.EUR.SeniorUnsecured.ModifiedModified.6y.Mid  has already been treated.
11/20/2010 11:05:22 PM - 	Quote  ZINCO.EUR.SeniorUnsecured.ModifiedModified.7y.Mid  has already been treated.
11/20/2010 11:05:22 PM - 	Quote  ZINCO.EUR.SeniorUnsecured.ModifiedModified.8y.Mid  has already been treated.
